fit,route,acronym,title,scheme,start,end,ec_contribution,coordinator,coord_country,coord_city,coord_url,coord_contact_form,n_partners,partner_institutions,tags,cordis_url
16,PI-HELD GRANT - cold outreach to coordinator,BIOBANG,Investigating opportunities for transformative change in biodiversity conservation: from Big Data analytics to Gamification.,HORIZON-ERC,2025-05-01,2030-04-30,1999928,HELSINGIN YLIOPISTO,FI,HELSINGIN YLIOPISTO,http://www.helsinki.fi/university/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999994535/101171602,0,,"culturomics,language,media,biodiv,spatial",https://cordis.europa.eu/project/id/101171602
12,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",WILDVALUE,Valuing the Wild: From Stated Preference Methods to Compensating Income Variation,HORIZON-TMA-MSCA-PF-EF,2026-08-01,2028-07-31,"242116,8",HELSINGIN YLIOPISTO,FI,HELSINGIN YLIOPISTO,http://www.helsinki.fi/university/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999994535/101202802,0,,"trade,zoonotic,biodiv",https://cordis.europa.eu/project/id/101202802
12,PI-HELD GRANT - cold outreach to coordinator,ZOONOSIS,Zoonotic Anthropology and Multispecies Infrastructures along China's Belt and Road,HORIZON-ERC,2026-09-01,2031-08-31,1499925,UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,NO,Tromso,http://uit.no/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999874643/101220868,0,,"trade,zoonotic,language",https://cordis.europa.eu/project/id/101220868
11,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",CoffeeFutures,Coffee Futures at Risk from Climate Change: game-based group modelling and Hybrid Intelligence analysis for Knowledge Coproduction on Intangible Cultural Heritage of food systems,HORIZON-TMA-MSCA-PF-EF,2026-06-01,2028-05-31,"209483,28",LIBERA UNIVERSITA DI BOLZANO,IT,Bolzano,https://www.unibz.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999853982/101273624,1,EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH (CH),"culturomics,language,biodiv",https://cordis.europa.eu/project/id/101273624
11,PI-HELD GRANT - cold outreach to coordinator,SPOON,"Food Systems in transition – ParticipatOry, Open citizen research for sustainable Nutrition",HORIZON-RIA,2024-12-01,2028-11-30,"5022917,5",COLLABORATING CENTRE ON SUSTAINABLE CONSUMPTION AND PRODUCTION GGMBH,DE,WUPPERTAL,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999551148/101182299,15,"PNO INNOVATION SL (ES) | EIGEN VERMOGEN VAN HET INSTITUUT VOOR LANDBOUW- EN VISSERIJONDERZOEK (BE) | AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH (AT) | SCIENCE FOR CHANGE, SL (ES) | INCOMMON NON-PROFIT CIVIL LAW COMPANY (EL) | ITC - INOVACIJSKO TEHNOLOSKI GROZD MURSKA SOBOTA (SI) | HOT OR COOL INSTITUTE (DE) | HOCHSCHULE FUR BILDENDE KUNSTE BRAUNSCHWEIG (DE) | FUNDACION DE LA COMUNITAT VALENCIANA PARA LA PROMOCION ESTRATEGICA EL DESARROLLO Y LA INNOVACION URBANA (ES) | JIBE COMPANY BV (NL) | FONDAZIONE ICONS (IT) | COMUNE DI TORINO (IT) | Stadmakers vzw (BE) | RETE DELLE CASE DEL QUARTIERE ETS (IT) | DIMOS THESSALONIKIS (EL)","culturomics,media,biodiv",https://cordis.europa.eu/project/id/101182299
11,PI-HELD GRANT - cold outreach to coordinator,PLANETARY EEL,Planetary Anthropology and Interspecies Nurture: A Political Ontology of Human-Eel Relations.,HORIZON-ERC-SYG,2026-09-01,2032-08-31,11082605,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,IT,Bologna,http://www.unibo.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999993953/101224851,3,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS (FR) | UNIVERSITY OF MELBOURNE (AU) | ZNANSTVENORAZISKOVALNI CENTER SLOVENSKE AKADEMIJE ZNANOSTI IN UMETNOSTI (SI),"trade,language,biodiv",https://cordis.europa.eu/project/id/101224851
10,PI-HELD GRANT - cold outreach to coordinator,BLUE CONNECT,"Strict protection, restoration and co-management of Marine Protected Areas to ensure effective ecosystem conservation and improved connectivity of Blue Corridors",HORIZON-IA,2024-09-01,2028-02-29,8375060,SUBMARINER NETWORK FOR BLUE GROWTH EWIV,DE,BERLIN,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/917927782/101156759,26,"VLAAMS INSTITUUT VOOR DE ZEE (BE) | INSTITUT ROYAL DES SCIENCES NATURELLES DE BELGIQUE (BE) | CENTYR ZA BREGOVI I MORSKI IZSLEDVANIYA (BG) | SALT RESEARCH AS (NO) | UNIVERSITEIT GENT (BE) | STICHTING DELTARES (NL) | NORSK INSTITUTT FOR VANNFORSKNING STI (NO) | UNIVERSIDAD DE MALAGA (ES) | TARTU ULIKOOL (EE) | WWF ITALIA (IT) | FONDAZIONE WWF MEDITERRANEAN (IT) | ASOCIACION PARA LA DEFENSA DE LA NATURALEZA (ES) | SUBMON (ES) | FUNDACAO GASPAR FRUTUOSO (PT) | UNIVERSIDADE DOS ACORES (PT) | JAN DE NUL NV (BE) | INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE MARINA GRIGORE ANTIPA (RO) | THE BALTIC MARINE ENVIRONMENT PROTECTION COMMISSION (FI) | BALGARSKA FONDATSIYA BIORAZNOOBRAZIE (BG) | FUNDACAO MAIO BIODIVERSIDADE (CV) | SERVICE PUBLIC FEDERAL SANTE PUBLIQUE, SECURITE DE LA CHAINE ALIMENTAIRE ET ENVIRONNEMENT (BE) | MINISTERIO PARA LA TRANSICION ECOLOGICA Y EL RETO DEMOGRAFICO (ES) | WWF ADRIA -UDRUGA ZA ZASTITU PRIRODE I OCUVANJE BIOLOSKE RAZNOLIKOSTI (HR) | UNIVERSITY OF THE HIGHLANDS AND ISLANDS (UK) | SOCIEDAD PARA EL DESAROLLO DE LAS COMUNIDADES COSTERAS (ES) | GRUP BALEAR D'ORNITOLOGIA I DEFENSA DE LA NATURALESA (ES)","culturomics,biodiv,spatial",https://cordis.europa.eu/project/id/101156759
10,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",ReAmazon,Restoring the Amazon Forest at Scale: An ethnography of digital technologies in ecological restoration in Brazil,HORIZON-TMA-MSCA-PF-EF,2026-06-01,2028-05-31,"263393,28",IT-UNIVERSITETET I KOBENHAVN,DK,KOBENHAVN,http://www.itu.dk,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998273464/101278017,0,,"culturomics,biodiv,spatial",https://cordis.europa.eu/project/id/101278017
10,PI-HELD GRANT - cold outreach to coordinator,FORbEST,Safeguarding Carbon and Biodiversity across European Forest Ecosystems through Multi-actor Innovation,HORIZON-RIA,2025-05-01,2029-04-30,"5967518,75",OULUN YLIOPISTO,FI,Oulu,http://www.oulu.fi,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999844670/101181878,18,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA (IT) | HUN-REN OKOLOGIAI KUTATOKOZPONT (HU) | INTERNATIONALES INSTITUT FUER ANGEWANDTE SYSTEMANALYSE (AT) | CESKA ZEMEDELSKA UNIVERZITA V PRAZE (CZ) | UNIVERSITA DEGLI STUDI DELLA TUSCIA (IT) | The Lifescape Project (UK) | Lumina Sprl (BE) | LUONNONVARAKESKUS (FI) | UNIVERSITA DEGLI STUDI DI MILANO (IT) | STICHTING WILD EUROPE (NL) | JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH (AT) | PROPARK-FUNDATIA PENTRU ARII PROTEJATE (RO) | CHIANG MAI UNIVERSITY (TH) | MINISTERO DELLA DIFESA (IT) | PILISI PARKERDO ZARTKORUEN MUKODO RESZVENYTARSASAG (HU) | SPRAVA NARODNIHO PARKU SUMAVA (CZ) | Ocolul Silvic Ingleby (RO) | HUN-REN OKOLOGIAI KUTATOKOZPONT (HU),"culturomics,biodiv,spatial",https://cordis.europa.eu/project/id/101181878
10,PI-HELD GRANT - cold outreach to coordinator,GENeCITY,Generative Agentic AI and Explainable Digital Twins for Climate-Neutral Cities,HORIZON-IA,2026-06-01,2029-11-30,"5999554,04",MAGGIOLI SPA,IT,SANTARCANGELO DI ROMAGNA,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/996621457/101270173,25,ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE (CH) | ICLEI EUROPEAN SECRETARIAT GMBH (ICLEI EUROPASEKRETARIAT GMBH) (DE) | INTERNATIONALES INSTITUT FUER ANGEWANDTE SYSTEMANALYSE (AT) | VRIJE UNIVERSITEIT BRUSSEL (BE) | INSTITUT GOLEMI DANNI V POLZA NA INTELIGENTNOTO OBSHTESTVO (BG) | EREVNITIKO PANEPISTIMIAKO INSTITOUTO SYSTIMATON EPIKOINONION KAI YPOLOGISTON (EL) | D.TSAKALIDIS-G.DOMALIS OE (EL) | TYGRON BV (NL) | FWDFASTER AI RESEARCH BV (NL) | PROVINCIE UTRECHT (NL) | GEMEENTE AMERSFOORT (NL) | DIMOS ATHINAION EPICHEIRISI MICHANOGRAFISIS (EL) | AYUNTAMIENTO DE MURCIA (ES) | RIGAS PLANOSANAS REGIONS (LV) | SKELLEFTEA KOMMUN (SE) | PLEIADES SYNERGATIKOS SCHIMATISMOS TECHNOLOGIAS KAI KAINOTOMIAS ASTIKI MI KERDOSKOPIKI ETAIREIA (EL) | STOLICHNA OBSHTINA (BG) | GEMEENTE NIEUWEGEIN (NL) | GEMEENTE EINDHOVEN (NL) | STAD OOSTENDE (BE) | Sigulda County Digital Center (LV) | JURMALAS VALSTSPILSETAS ADMINISTRACIJA (LV) | DIMOS KALAMATAS (EL) | DIMOS PALAIO FALIRO (EL) | MUNICIPALITY OF SOUTHERN KYNOURIA (EL),"culturomics,language,spatial",https://cordis.europa.eu/project/id/101270173
